Departamento,Municipio,Código_lugar,Año,Tamaño_muestra,Desntr_crón_inft
CHIQUIMULA,SAN JACINTO,2010,2001,470,50.9
CHIQUIMULA,SAN JOSÉ LA ARADA,2002,2001,314,25.8
CHIQUIMULA,SAN JUAN ERMITA,2003,2001,480,61.5
EL PROGRESO,EL JÍCARO,0205,2001,459,23.5
EL PROGRESO,GUASTATOYA,0201,2001,525,18.5
EL PROGRESO,MORAZÁN,0202,2001,481,33.1
EL PROGRESO,SAN AGUSTÍN ACASAGUASTLÁN,0203,2001,1470,40.8
EL PROGRESO,SAN ANTONIO LA PAZ,0208,2001,526,32.1
EL PROGRESO,SAN CRISTÓBAL ACASGUASTLAN,0204,2001,196,24
EL PROGRESO,SANARATE,0207,2001,941,28.6
EL PROGRESO,SANSARE,0206,2001,365,32.3
ESCUINTLA,ESCUINTLA,0501,2001,2929,28.4
ESCUINTLA,GUANAGAZAPA,0508,2001,472,42.6
ESCUINTLA,IZTAPA,0510,2001,491,19.4
ESCUINTLA,LA DEMOCRACIA,0503,2001,560,32.5
ESCUINTLA,LA GOMERA,0507,2001,1488,30.3
ESCUINTLA,MASAGUA,0505,2001,1148,29
ESCUINTLA,NUEVA CONCEPCIÓN,0513,2001,2544,23
ESCUINTLA,PALÍN,0511,2001,1051,35.7
ESCUINTLA,SAN JOSÉ,0509,2001,1317,27.1
ESCUINTLA,SAN VICENTE PACAYA,0512,2001,390,41.8
ESCUINTLA,SANTA LUCIA COTZULMALGUAPA,0502,2001,2495,40.7
ESCUINTLA,SIPACATE,0514,2001,,
ESCUINTLA,SIQUINALÁ,0504,2001,794,45.6
ESCUINTLA,TIQUISATE,0506,2001,1554,29.4
GUATEMALA,AMATITLÁN,0135,2001,2477,30
